name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
noise_sigma0.000,physics_lstm,0.2,0.0,0.5772047060960622,0.7302921738575758,0.5659314727673485,7.876480347160034,0.7861111111111111,54
noise_sigma0.010,physics_lstm,0.2,0.01,0.5779575228018491,0.7310922048921258,0.56497991249985,7.881363458423328,0.7847222222222222,54
noise_sigma0.020,physics_lstm,0.2,0.02,0.5785148619167619,0.7322823757879613,0.5635623904030902,7.883937980259457,0.7819444444444444,54
noise_sigma0.050,physics_lstm,0.2,0.05,0.5786162191752342,0.7374252555649242,0.5574105887277893,7.868237994661563,0.798611111111111,54
noise_sigma0.100,physics_lstm,0.2,0.1,0.5801896254016845,0.748077665591469,0.5445314628015887,7.888454489130206,0.8,54
