J,J_over_h,r2,mae,rmse,auroc,n_samples
0.2,0.2,0.8763261652465801,0.46982065652055977,0.5999524537740485,0.9593253968253969,90
0.5,0.5,0.7704998357239514,0.6116622962862057,0.7493399939217417,0.8634339435922811,90
0.8,0.8,0.4693883304443842,1.2696266565906082,1.9849270176819478,0.7836927223719676,81
1.0,1.0,0.49694228633819215,1.230953545840635,2.7443534486220877,0.7630004601932812,94
1.2,1.2,0.3185842157275025,2.7800065946932486,4.251721473382367,0.5547588005215124,85
1.5,1.5,0.8361762471795787,0.7572584278378391,1.0079284181871229,0.9415509259259258,84
2.0,2.0,0.6140139305695789,1.3145519463597921,2.2040031763492176,0.7702479338842976,88
