name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
noise_sigma0.000,physics_lstm,0.2,0.0,1.08007658451637,1.4793047031915687,0.4504654826223796,15.17532325186732,0.7511363636363637,148
noise_sigma0.010,physics_lstm,0.2,0.01,1.0768396336175659,1.4753111790357576,0.4534285194148642,15.12218872715654,0.7496212121212121,148
noise_sigma0.020,physics_lstm,0.2,0.02,1.0731285671907536,1.4717238542162319,0.45608334320896404,15.063064883819319,0.7477272727272727,148
noise_sigma0.050,physics_lstm,0.2,0.05,1.069630425102914,1.4629019056489951,0.46258459441564004,14.9749537223141,0.7431818181818182,148
noise_sigma0.100,physics_lstm,0.2,0.1,1.0887690046406593,1.4850496093607861,0.4461889405250089,15.122984413098692,0.7335227272727273,148
