scenario,context_code,name,variant,mae,rmse,r2,mape,auroc,n_samples
D,2.0,physics_lstm,physics_lstm,0.7878928498442184,1.1218186033633826,0.6905314753012725,12.3230282737926,0.847870182555781,63
D,2.0,transformer,transformer,0.7237028802787482,0.9189550376872759,0.7923367077822654,11.764080326562636,0.8640973630831643,63
E,3.0,physics_lstm,physics_lstm,1.0659841049161556,1.4070076053906433,0.2046498484643683,17.5042083452483,0.8276209677419355,63
E,3.0,transformer,transformer,0.9494376564707065,1.3397231389238735,0.2788998351077173,14.213124487553905,0.7943548387096775,63
