seed,J,r2,mae,auroc,n_samples
42,0.2,0.6799449188901378,0.6527995413447762,0.8496240601503761,87
42,0.5,0.758135096342964,0.696317150107535,0.8964334705075445,81
42,0.8,0.4510685851381222,0.8639735395337986,0.8335866261398176,75
42,1.0,0.3845477623845305,1.2167927170057653,0.8128654970760234,84
42,1.2,0.433769363805804,1.7397422200216048,0.8110119047619048,85
42,1.5,0.5136024705507847,1.5084611541850104,0.6926229508196722,89
42,2.0,0.506969109532024,1.416453333628873,0.7986453201970443,85
43,0.2,0.7203617774013973,0.505109334199612,0.8902439024390244,83
43,0.5,0.4502606313478651,0.7935999711937014,0.9122448979591836,77
43,0.8,0.3885787217800739,0.8638683280425956,0.8796542553191489,79
43,1.0,0.6333173771115651,0.7648663637102114,0.8452380952380952,90
43,1.2,0.578344398587773,0.8772700206459085,0.7021276595744681,85
43,1.5,0.5885520689936898,0.7597757323840707,0.7987804878048781,85
43,2.0,0.37209752299649856,1.1635999928127707,0.8027777777777777,85
44,0.2,0.7437763826576917,0.5766577490243592,0.9465449804432855,85
44,0.5,0.7401501707323732,0.6255844814376637,0.9124860646599777,85
44,0.8,0.5295216236578252,0.7529541890017396,0.7902467685076381,83
44,1.0,0.5880708515802073,0.8140827521982836,0.8493909191583611,85
44,1.2,0.7185338230712943,0.5276050246548185,0.8964497041420117,91
44,1.5,0.5415977588565531,1.0941412619552413,0.8305681246857717,90
44,2.0,0.6423777060108191,0.8123895272471142,0.8696969696969696,83
