seed,scenario,variant,r2,mae,auroc,n_samples
42,D,physics_only,-8.795221769532201,2.6994992039584385,0.7267848101265822,204
42,D,lstm_only,0.6982200726934267,0.6989538646935411,0.8798987341772152,204
42,D,physics_lstm,0.481855920428067,0.8331779903050166,0.8860759493670886,204
42,D,transformer,0.8217760895714549,0.5294734312928213,0.9036962025316456,204
42,E,physics_only,-10.699434876370539,3.520129481774444,0.6193948412698412,202
42,E,lstm_only,0.3301013445454779,0.9795267634320881,0.7483134920634921,202
42,E,physics_lstm,-0.16159949918963257,1.4131244792538968,0.6928571428571428,202
42,E,transformer,0.6615189688026034,0.725203681378798,0.8001984126984126,202
43,D,physics_only,-2.672979964635299,1.363978944461411,0.8753483835005574,173
43,D,lstm_only,0.6203197795870938,0.7719967320564246,0.8858695652173914,173
43,D,physics_lstm,0.5942562363020356,0.8118900400268106,0.9225195094760312,173
43,D,transformer,0.8748142741261207,0.40804707462358075,0.9664158305462652,173
43,E,physics_only,-3.4814254952173087,2.0516965458555383,0.7161616161616161,218
43,E,lstm_only,0.6192802254410265,0.8305780984407792,0.7810606060606061,218
43,E,physics_lstm,0.39209528855751563,0.9134054548026813,0.8117003367003368,218
43,E,transformer,0.74831532367903,0.6208188963906067,0.8611952861952863,218
44,D,physics_only,-0.4790714915909846,1.1792256080447987,0.8856895223420648,206
44,D,lstm_only,0.5810801728251497,0.8574379234063008,0.8221302003081664,206
44,D,physics_lstm,0.7220186945979223,0.6961041309799413,0.8476502311248074,206
44,D,transformer,0.8331314244588456,0.5492823420863802,0.920550847457627,206
44,E,physics_only,-3.757455881969257,2.734768447765406,0.7587203302373582,199
44,E,lstm_only,0.3170656530521694,1.253546667659208,0.7961816305469556,199
44,E,physics_lstm,0.5038111850640601,1.1632426163535323,0.7742002063983489,199
44,E,transformer,0.6862946963891332,0.8636772616029057,0.8628482972136223,199
