scenario,variant,window,mae,rmse,r2,mape,auroc,n_samples
D,transformer_w20,20,0.6157259202936033,0.8450275965454976,0.8170223285697135,10.575562939394404,0.9365651691092801,1116
E,transformer_w20,20,0.8996622726589978,1.6228717917400766,0.5662149032133688,13.454017133161084,0.8880700951384575,1149
