scenario,name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
D,physics_only,physics_only,0.2,0.0,1.3025031504367965,2.550833210148791,-0.6867158244593339,23.12566752758941,0.8427981651376146,209
D,lstm_only,lstm_only,0.2,0.0,0.8020229302644378,1.12373545274938,0.67265481319569,15.431909380655256,0.8468807339449541,209
D,physics_lstm,physics_lstm,0.2,0.0,0.8974252470067748,1.1857025756223378,0.6355572452025167,17.32868710415292,0.8189908256880734,209
D,transformer,transformer,0.2,0.0,0.4435348956638099,0.6297387372958442,0.8971986986753383,8.327437715255904,0.9286238532110092,209
E,physics_only,physics_only,0.2,0.0,2.705739152657741,4.7228057711390745,-4.2665853537839835,54.647775726725435,0.7269467213114754,210
E,lstm_only,lstm_only,0.2,0.0,1.0766250152389145,1.6248718661453285,0.37659943031744336,23.475710244318645,0.7427347242921014,210
E,physics_lstm,physics_lstm,0.2,0.0,1.0490952061250642,1.5195080737533746,0.4548261947157236,23.319122968089218,0.7892138599105811,210
E,transformer,transformer,0.2,0.0,0.7175843457101829,1.148093447539091,0.6887685807574055,14.149541427422815,0.8401639344262295,210
