seed,scenario,tau,r2,mae,auroc
42,D,0.0,0.7808289904239798,0.6442800899740607,0.8356880733944954
42,D,0.3,0.7499210726664716,0.677999276374669,0.8219266055045872
42,D,0.5,0.7677202312992408,0.6437190978589371,0.8548623853211009
42,D,0.7,0.803746289996672,0.6136234855295793,0.8747706422018349
42,D,0.9,0.7829938454433938,0.6335584438531241,0.8357798165137614
42,E,0.0,0.141892075073763,1.2371747019795016,0.7010912698412698
42,E,0.3,-0.013565372638691509,1.2866179177980646,0.7065476190476191
42,E,0.5,-0.24153964569822373,1.423251165454797,0.6678571428571429
42,E,0.7,0.23522832027580298,1.1129080107928178,0.7118055555555556
42,E,0.9,-0.33612988522597087,1.4357382680766593,0.6839285714285714
43,D,0.0,0.6419282675127036,0.753638700929486,0.8337513935340022
43,D,0.3,0.546108381300576,0.866292525268265,0.8596711259754737
43,D,0.5,0.6134364698236617,0.7739813297708835,0.9023829431438126
43,D,0.7,0.4736816996634612,0.9068141281618594,0.8583472686733558
43,D,0.9,0.5676684950313302,0.8034094009608075,0.9002229654403566
43,E,0.0,0.5631025160475948,0.8690467566548946,0.8428030303030304
43,E,0.3,0.28033394260407574,1.0120116628911247,0.8010942760942762
43,E,0.5,0.22411485135297293,1.040325746725753,0.8094276094276094
43,E,0.7,0.4406339568011133,0.9577327045019478,0.8186026936026936
43,E,0.9,0.2576012639082743,1.0642550880580006,0.8244107744107744
44,D,0.0,0.7198945136823807,0.7556335619535575,0.8347457627118644
44,D,0.3,0.6768138387802101,0.7778076045518294,0.865562403697997
44,D,0.5,0.6347570622182885,0.8294034739235253,0.8350346687211094
44,D,0.7,0.7514480745295015,0.6316881154889332,0.8798151001540833
44,D,0.9,0.7422830684897109,0.6648051878837449,0.8558359013867488
44,E,0.0,0.2265687845405393,1.294641926822156,0.7881320949432404
44,E,0.3,0.2118894851869868,1.3040609312321165,0.8033539731682148
44,E,0.5,0.19447469715334187,1.431440614015629,0.7333333333333333
44,E,0.7,0.4673088642887502,1.1323538490789054,0.8021671826625388
44,E,0.9,0.4214245796245092,1.1227579622943207,0.7941176470588236
