name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
noise_sigma0.000,physics_lstm,0.2,0.0,0.6199459545819545,0.8337712535329604,0.5371723642931624,9.143293788274894,0.8130929791271347,198
noise_sigma0.010,physics_lstm,0.2,0.01,0.6201460922710279,0.8327315753447259,0.538325898389252,9.14706172618547,0.8164136622390892,198
noise_sigma0.020,physics_lstm,0.2,0.02,0.6204830182553669,0.8318925973195123,0.5392557041455914,9.15279284102846,0.8173624288425048,198
noise_sigma0.050,physics_lstm,0.2,0.05,0.6157940712676516,0.8275825798417277,0.5440175489789398,9.077073597984418,0.8255455407969639,198
noise_sigma0.100,physics_lstm,0.2,0.1,0.6158686730770807,0.8275571662198968,0.5440455534051514,9.0691791739026,0.8250711574952562,198
