seed,scenario,variant,r2,mae,auroc,n_samples
42,D,physics_only,-8.795221769532201,2.6994992039584385,0.7267848101265822,204
42,D,lstm_only,0.2994188576778456,0.9891819115518959,0.8629873417721519,204
42,D,physics_lstm,0.6746863782920427,0.729654314726611,0.8868860759493671,204
42,D,transformer,0.8217760895714549,0.5294734312928213,0.9036962025316456,204
42,E,physics_only,-10.699434876370539,3.520129481774444,0.6193948412698412,202
42,E,lstm_only,-0.05661868721054941,1.3055410947351243,0.7154761904761905,202
42,E,physics_lstm,0.2912897209195733,1.1572902885870646,0.6643849206349207,202
42,E,transformer,0.6615189688026034,0.725203681378798,0.8001984126984126,202
43,D,physics_only,-2.672979964635299,1.363978944461411,0.8753483835005574,173
43,D,lstm_only,0.2782673779085564,0.9972962478953583,0.9145763656633223,173
43,D,physics_lstm,0.7890297023843884,0.5273249815514104,0.9318561872909699,173
43,D,transformer,0.8748142741261207,0.40804707462358075,0.9664158305462652,173
43,E,physics_only,-3.4814254952173087,2.0516965458555383,0.7161616161616161,218
43,E,lstm_only,-0.29060188121967023,1.3464374720109877,0.8127946127946128,218
43,E,physics_lstm,0.3488620773718223,1.0358149489479433,0.823063973063973,218
43,E,transformer,0.74831532367903,0.6208188963906067,0.8611952861952863,218
44,D,physics_only,-0.4790714915909846,1.1792256080447987,0.8856895223420648,206
44,D,lstm_only,0.3745993496136273,1.0007520507650967,0.8261748844375962,206
44,D,physics_lstm,0.7818374283599779,0.6330231851332871,0.8971494607087828,206
44,D,transformer,0.8331314244588456,0.5492823420863802,0.920550847457627,206
44,E,physics_only,-3.757455881969257,2.734768447765406,0.7587203302373582,199
44,E,lstm_only,0.42032393854383676,1.1408656555336616,0.8103199174406605,199
44,E,physics_lstm,0.5529043506304618,1.0077138847130276,0.8128482972136224,199
44,E,transformer,0.6862946963891332,0.8636772616029057,0.8628482972136223,199
