scenario,tau,name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
D,0.5,physics_only,physics_only,0.2,0.0,1.5753357524073024,2.8472848245529163,-0.9563541495185559,24.698208290338215,0.8219827586206897,69
D,0.5,lstm_only,lstm_only,0.2,0.0,0.8473164319499599,1.1273657385870886,0.6932989143009947,12.56915451285491,0.8086206896551724,69
D,0.5,physics_lstm,physics_lstm,0.2,0.0,0.7414246449026625,1.2050763658158945,0.6495590999029754,10.340794425538437,0.8336206896551723,69
D,0.5,transformer,transformer,0.2,0.0,0.7751594006844309,1.0575611209771891,0.7301039043717836,11.226926021176297,0.8767241379310345,69
E,0.0,physics_only,physics_only,0.2,0.0,2.0123821503598966,3.2675225180074308,-3.1636688320119655,33.69874928513582,0.6873449131513648,57
E,0.0,lstm_only,lstm_only,0.2,0.0,0.9870140581980378,1.343818331000058,0.2957609173749861,17.773291809430667,0.8312655086848635,57
E,0.0,physics_lstm,physics_lstm,0.2,0.0,0.937015002092831,1.4286268536192168,0.20406680154003787,16.93672903247756,0.8300248138957816,57
E,0.0,transformer,transformer,0.2,0.0,0.9231367590672008,1.2307998462090628,0.409236210368632,17.19350476150602,0.8908188585607941,57
