scenario,variant,window,mae,rmse,r2,mape,auroc,n_samples
D,physics_lstm_1000,20,0.977841382970686,1.4075612319272226,0.49152763031814883,19.111579490059317,0.8642670869752114,1697
E,physics_lstm_1000,20,1.1956237498980997,1.7815335539697945,0.4992453900075634,21.131323816780903,0.8582473157564395,1768
