seed,scenario,variant,r2,mae,auroc
42,A,physics_only,0.9999999644440577,0.00038760819287429803,1.0
42,A,lstm_only,0.45262786905915897,1.5009842040438581,0.8505942275042444
42,A,physics_lstm,0.9769356069616218,0.15358951886256444,1.0
42,A,transformer,0.8805817368895837,0.7305303680642103,0.9134125636672327
42,A,stretched_exp,0.9999999701748347,0.00036187658934892395,1.0
42,B,physics_only,0.7493818191880938,0.6363387029013178,0.9566666666666667
42,B,lstm_only,0.03621629128342563,2.0648944634549156,0.9133333333333332
42,B,physics_lstm,0.9504674260401708,0.5043696451004963,0.9433333333333334
42,B,transformer,0.9122297805200151,0.5441493860929618,0.9716666666666667
42,B,stretched_exp,0.8197911590999527,0.5846180873202936,0.9583333333333334
42,C,physics_only,0.9649793880428178,0.08211057057622785,1.0
42,C,lstm_only,-2.2745663509558898,1.222632069753488,0.8135198135198135
42,C,physics_lstm,0.9902621862744951,0.09308856425259222,1.0
42,C,transformer,0.9882188814570774,0.101425688451276,0.993006993006993
42,C,stretched_exp,0.9778220227773397,0.09767211704586902,0.9545454545454545
43,A,physics_only,0.9999999830278836,0.0004242895239474542,1.0
43,A,lstm_only,0.36082966324886334,2.746189403257658,0.9134615384615385
43,A,physics_lstm,0.6661650092248086,1.057737432896028,1.0
43,A,transformer,0.6527840140048474,1.45391595927217,0.9663461538461539
43,A,stretched_exp,0.9999999628003902,0.0006205613922448716,1.0
43,B,physics_only,0.7190782961601756,0.6914021627119606,0.958128078817734
43,B,lstm_only,0.5292359683990524,1.1948428307133225,0.9441707717569786
43,B,physics_lstm,0.9718989275776612,0.3155632313068153,0.9770114942528735
43,B,transformer,0.9705367553685725,0.28980953582334323,0.980295566502463
43,B,stretched_exp,0.8908689005909015,0.4185604276507109,0.8940886699507389
43,C,physics_only,0.8960912986624533,0.33586118667652676,0.9952
43,C,lstm_only,0.30860405906144717,0.7893647059425476,0.8192
43,C,physics_lstm,0.9822115022077317,0.1839017329835346,0.9952
43,C,transformer,0.928321573729348,0.3576422129872416,1.0
43,C,stretched_exp,0.9427595434991961,0.2924396717765936,0.9199999999999999
44,A,physics_only,0.999999970612334,0.0002370775503588618,1.0
44,A,lstm_only,-1.2134270647750482,1.7304467049573804,0.890224358974359
44,A,physics_lstm,0.9997750863988731,0.01663338457661876,1.0
44,A,transformer,0.9423523541661444,0.30028912643554384,0.9567307692307693
44,A,stretched_exp,0.9999999527421416,0.0002587390898694952,1.0
44,B,physics_only,0.6885048755675394,1.2570621954022092,0.9498644986449865
44,B,lstm_only,0.4184141777689674,2.0090360605954283,0.9268292682926829
44,B,physics_lstm,0.6469278465805824,1.049675554827568,1.0
44,B,transformer,0.6247541567656393,1.1748308300816999,0.997289972899729
44,B,stretched_exp,0.939254501441321,0.5995697939709018,0.8766937669376693
44,C,physics_only,0.8543673499112918,0.38753874089984286,0.9801587301587302
44,C,lstm_only,-0.22097716197046147,1.2668373889874527,0.8829365079365079
44,C,physics_lstm,0.9678793803298462,0.19406840911400752,0.992063492063492
44,C,transformer,0.9618789153685428,0.21117641293304829,0.996031746031746
44,C,stretched_exp,0.9408243178771991,0.288362766139387,0.8928571428571428
