seed,arm,J,r2,mae,auroc,n_samples
42,generic,0.2,0.32449927459806616,0.7969522528064876,0.8681318681318682,82
42,generic,0.5,0.758135096342964,0.696317150107535,0.8964334705075445,81
42,generic,0.8,0.4510685851381222,0.8639735395337986,0.8335866261398176,75
42,generic,1.0,0.3845477623845305,1.2167927170057653,0.8128654970760234,84
42,generic,1.2,0.433769363805804,1.7397422200216048,0.8110119047619048,85
42,generic,1.5,0.5136024705507847,1.5084611541850104,0.6926229508196722,89
42,generic,2.0,0.506969109532024,1.416453333628873,0.7986453201970443,85
42,sector+,0.2,0.7665476664346851,0.602711572668322,0.9575273338940287,99
42,sector+,0.5,0.4142803694805486,0.9394849957062754,0.8595724003887268,91
42,sector+,0.8,0.7577529667878606,0.6932438961357276,0.9605614973262033,78
42,sector+,1.0,0.4887838558905422,1.0406016828272417,0.7387218045112781,80
42,sector+,1.2,0.5740158004714296,1.341858360752288,0.8422641509433962,78
42,sector+,1.5,0.5459943959994449,1.3654745512368816,0.6547619047619048,76
42,sector+,2.0,0.6073705631086777,1.320803169069229,0.7721354166666666,80
42,sector-,0.2,0.8447174792428725,0.5516455069085934,0.9501173708920188,95
42,sector-,0.5,0.726099129280167,0.8870263358355207,0.8590704647676162,98
42,sector-,0.8,0.48230900871162996,1.2147458390863288,0.786936936936937,97
42,sector-,1.0,0.3311154808256994,1.5897184313381827,0.8900462962962963,96
42,sector-,1.2,0.484683234586471,1.380447800101443,0.7563667232597623,81
42,sector-,1.5,0.3981129961151719,1.1705946616208736,0.7867383512544803,80
42,sector-,2.0,0.2167632038651527,1.447212455864254,0.7347876004592423,80
43,generic,0.2,0.8071815593599561,0.4882007955662103,0.9131250000000001,80
43,generic,0.5,0.4502606313478651,0.7935999711937014,0.9122448979591836,77
43,generic,0.8,0.3885787217800739,0.8638683280425956,0.8796542553191489,79
43,generic,1.0,0.6333173771115651,0.7648663637102114,0.8452380952380952,90
43,generic,1.2,0.578344398587773,0.8772700206459085,0.7021276595744681,85
43,generic,1.5,0.5885520689936898,0.7597757323840707,0.7987804878048781,85
43,generic,2.0,0.37209752299649856,1.1635999928127707,0.8027777777777777,85
43,sector+,0.2,0.8341195516361471,0.5118261256653326,0.8521531100478469,93
43,sector+,0.5,0.7333609538453242,0.5095419800723989,0.9154334038054969,87
43,sector+,0.8,0.5487930119511781,0.6443803876865357,0.835230352303523,86
43,sector+,1.0,0.6574382764995266,0.7305817851265346,0.7839721254355401,97
43,sector+,1.2,0.5946122016400368,0.7403294591744681,0.6369353916523728,86
43,sector+,1.5,0.4672284590757444,0.738334449850686,0.6589285714285714,86
43,sector+,2.0,0.7782813249799612,0.572985949024134,0.8577097505668934,85
43,sector-,0.2,0.9089388210805928,0.3679469535731508,0.9628496503496503,96
43,sector-,0.5,0.6240839198763464,0.8476879807255022,0.8414522058823529,98
43,sector-,0.8,0.4759317769893152,1.2051693294727162,0.9258928571428572,99
43,sector-,1.0,0.42758637587114334,1.042282434345907,0.8323558162267839,95
43,sector-,1.2,0.6993728303421318,0.7452165461630981,0.7433106575963719,94
43,sector-,1.5,0.579706695914819,0.7148618663986618,0.8611680327868854,93
43,sector-,2.0,0.6335122308744852,1.0681095957690223,0.7804545454545455,95
44,generic,0.2,0.7437763826576917,0.5766577490243592,0.9465449804432855,85
44,generic,0.5,0.7401501707323732,0.6255844814376637,0.9124860646599777,85
44,generic,0.8,0.5295216236578252,0.7529541890017396,0.7902467685076381,83
44,generic,1.0,0.5880708515802073,0.8140827521982836,0.8493909191583611,85
44,generic,1.2,0.7185338230712943,0.5276050246548185,0.8964497041420117,91
44,generic,1.5,0.5415977588565531,1.0941412619552413,0.8305681246857717,90
44,generic,2.0,0.6423777060108191,0.8123895272471142,0.8696969696969696,83
44,sector+,0.2,0.8927419165887661,0.42896443423731895,0.9597222222222221,96
44,sector+,0.5,0.6065483997117258,0.6748949028981751,0.8998294970161977,97
44,sector+,0.8,0.594521994788939,0.5703452417664545,0.9281798245614035,86
44,sector+,1.0,0.8088141463500331,0.5798630960226983,0.8446447507953341,87
44,sector+,1.2,0.5107094275332213,0.7483302376978689,0.9495614035087719,86
44,sector+,1.5,0.4786239057554408,0.9771288715904785,0.7792792792792793,79
44,sector+,2.0,0.3590536531906603,1.3148953597680468,0.7515432098765432,75
44,sector-,0.2,0.8313094020932087,0.6358211049922087,0.9252651880424301,95
44,sector-,0.5,0.6312047622481587,0.8006226342328301,0.9142857142857143,99
44,sector-,0.8,0.6453376277762249,0.7796762364150867,0.9090073529411764,98
44,sector-,1.0,0.7082103452099309,0.8841877590017112,0.786815523657629,90
44,sector-,1.2,0.5685734520875616,0.837580258367787,0.8338461538461539,95
44,sector-,1.5,0.7213023532430825,1.002115248226323,0.9271412680756396,91
44,sector-,2.0,0.6152658825958817,0.9644940835641644,0.8256048387096774,95
