seed,arm,key,r2,mae,auroc
42,e6b,0.00,0.6897977523422982,0.5614957266771066,0.8174840510366825
42,e6b,0.01,0.6781778608959916,0.5716460601012303,0.8032296650717703
42,e6b,0.02,0.6802344296087122,0.5652784373591856,0.8121012759170654
42,e6b,0.05,0.6576274905332962,0.5821924041931006,0.78957336523126
42,e6b,0.10,0.61783309654539,0.6280451500736781,0.72188995215311
42,e8c,cross_system_D,0.767264314717963,0.6648212642973654,0.8864359521075938
42,e8c,cross_system_E,0.5828584576341358,0.9289683181732652,0.7878218399957531
43,e6b,0.00,0.3992156974496922,0.5232918263678867,0.7899159663865547
43,e6b,0.01,0.43220382054679496,0.5091122315550143,0.8001680672268907
43,e6b,0.02,0.43252218638406914,0.507937478332374,0.8102521008403362
43,e6b,0.05,0.5306606419874883,0.47720394070585526,0.8418487394957984
43,e6b,0.10,0.38236348214285154,0.5348093470573042,0.7884033613445379
43,e8c,cross_system_D,0.6870768470160997,0.7821310444161863,0.843355286900036
43,e8c,cross_system_E,0.5436255115808335,1.1507965978394814,0.7854420920311587
44,e6b,0.00,0.3998909085705138,0.7872834892751701,0.7792752321054207
44,e6b,0.01,0.47380429713223304,0.7828527792610043,0.776879305181192
44,e6b,0.02,0.3552152521818387,0.80167641711293,0.7310572027553159
44,e6b,0.05,0.44434366689407645,0.7556787582076131,0.726564839772387
44,e6b,0.10,0.46470266451826536,0.769023185650863,0.6999101527403414
44,e8c,cross_system_D,0.5089935076298683,0.9526859590505492,0.8107158454758407
44,e8c,cross_system_E,0.4493078022594492,1.1505333509837796,0.7248540417695231
