name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
noise_sigma0.000,physics_lstm,0.2,0.0,0.2200676613108688,0.34592881393447894,0.9586140841906462,2.615885636400926,0.9763488543976349,74
noise_sigma0.010,physics_lstm,0.2,0.01,0.22372194761144956,0.3559868339273415,0.9561724729642946,2.669313095563514,0.975609756097561,74
noise_sigma0.020,physics_lstm,0.2,0.02,0.25124226716866616,0.3849124776262459,0.9487607134785182,3.0745926183912187,0.9711751662971175,74
noise_sigma0.050,physics_lstm,0.2,0.05,0.3744053335571387,0.5350888072166352,0.9009781974850621,4.797543717595536,0.9416112342941612,74
noise_sigma0.100,physics_lstm,0.2,0.1,0.596450673433078,0.8884984565072096,0.7269812652512623,7.781917666444965,0.8647450110864744,74
