scenario,name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
D,physics_only,physics_only,0.2,0.0,0.864108585761264,1.1483171387752933,0.6512684802879238,14.577190962867823,0.8809523809523809,35
D,lstm_only,lstm_only,0.2,0.0,0.9035512653307214,1.1196190701555355,0.6684812601046916,15.089234876660251,0.8197278911564626,35
D,physics_lstm,physics_lstm,0.2,0.0,0.7151026967438642,1.0022187437105508,0.7343605634794703,11.012037855516349,0.8809523809523809,35
D,transformer,transformer,0.2,0.0,0.8952843006413745,1.1691283818822709,0.6385136388309758,15.511026178157502,0.7959183673469388,35
E,physics_only,physics_only,0.2,0.0,1.6999362857661382,2.998883775405941,-13.110602372127317,41.09703894747199,0.8392857142857143,40
E,lstm_only,lstm_only,0.2,0.0,0.7756894982321391,0.9303895466702509,-0.3581756164235106,20.347182301803272,0.7083333333333333,40
E,physics_lstm,physics_lstm,0.2,0.0,0.6830158643411498,0.9382735846169358,-0.381291260973049,16.637803553454646,0.8035714285714286,40
E,transformer,transformer,0.2,0.0,1.0648317194978454,1.4885255470388359,-2.476473074438611,25.575045518586304,0.761904761904762,40
