experiment,name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
E7a_transformer_cross,cross_system_D,transformer,0.2,0.0,0.4698701284218305,0.6209597083293964,0.7583838819900653,6.84916599453163,0.8634845585200195,849
E7a_transformer_cross,cross_system_E,transformer,0.2,0.0,0.6664041189448814,0.9519055080443659,0.5994330162563271,9.507834075671639,0.7357442826317295,780
